id,start_time,end_time,title,tags,people,venues,description
12388,"Fri, 03 Apr 2015 13:00:00 +0800","Fri, 03 Apr 2015 14:00:00 +0800",Lunch,Break,"","",
12389,"Sat, 04 Apr 2015 13:00:00 +0800","Sat, 04 Apr 2015 14:00:00 +0800",Lunch,Break,"","",
12390,"Sun, 05 Apr 2015 13:00:00 +0800","Sun, 05 Apr 2015 14:00:00 +0800",Lunch,Break,"","",
12392,"Mon, 06 Apr 2015 13:00:00 +0800","Mon, 06 Apr 2015 14:00:00 +0800",Lunch,Break,"","",
12394,"Fri, 03 Apr 2015 18:00:00 +0800","Fri, 03 Apr 2015 19:30:00 +0800",Dinner,Break,"","",
12395,"Sat, 04 Apr 2015 18:00:00 +0800","Sat, 04 Apr 2015 19:30:00 +0800",Dinner,Break,"","",
12396,"Sun, 05 Apr 2015 18:00:00 +0800","Sun, 05 Apr 2015 19:30:00 +0800",Dinner,Break,"","",
12398,"Fri, 03 Apr 2015 21:30:00 +0800","Fri, 03 Apr 2015 23:59:00 +0800",Beefcake!!! The Third,Adult Only,"Kitty Byrne, Kat Griffiths",Hamersley South (Small Panel Room),"Beefcake III: The Beefening!

Come along for the updated, revamped, and actually organised for once Beefcake. No, really. We're organised."
12399,"Fri, 03 Apr 2015 16:30:00 +0800","Fri, 03 Apr 2015 18:00:00 +0800",Geekling Sing-A-Long,"Family, Fandom, Young Adult",Desiree Heald,Family Room (Boardroom),"Geeks and Geeklings come along and sing for your favourite children's cartoon theme songs. 
Astroboy!
Kimba!
My Little Pony, both old and new!"
12402,"Fri, 03 Apr 2015 19:30:00 +0800","Fri, 03 Apr 2015 20:30:00 +0800",Swancon History Panel 0 - 20 Years,"Fandom, Guest of Honour Item","Stephen Dedman, Anthony Peacey, Grant Stone",Hamersley South (Small Panel Room),Interesting stories from when Swancon was young.
12410,"Sun, 05 Apr 2015 19:30:00 +0800","Sun, 05 Apr 2015 20:30:00 +0800","Unusual Pairings in FanFic - the Good, the Bad, the Ugly",Transformative Works,"Belinda Forbes, Katherine McFarlane, Sarah McFarlane, Sandy Norman, Sarah Xu",Hamersley South (Small Panel Room),"In the world of fanfiction, there are some things that we just HATE and somethings we just love. What are your pet peeves? What are you pet pairings? Do Donna and Jack really live happily ever after?"
12411,"Fri, 03 Apr 2015 11:00:00 +0800","Fri, 03 Apr 2015 12:00:00 +0800",GoH - Speech - Kylie Chan,Guest of Honour Item,"",North Ballroom (Large ballroom),"Kylie's Guest of Honour Speech
North and centre ballroom as one"
12412,"Sat, 04 Apr 2015 11:00:00 +0800","Sat, 04 Apr 2015 12:00:00 +0800",GoH - Speech - John Scalzi,Guest of Honour Item,John Scalzi,North Ballroom (Large ballroom),"John Scalzi rants, raves, and goes ballistic over whatever the hell he likes."
12413,"Sat, 04 Apr 2015 20:00:00 +0800","Sat, 04 Apr 2015 23:59:00 +0800",Masquerade,Event,Jade Rolfe,North Ballroom (Large ballroom),
12414,"Thu, 02 Apr 2015 21:00:00 +0800","Thu, 02 Apr 2015 22:00:00 +0800",Riding The Iron Bull: Why Is Dragon Age Inquisition So Damn Good?,"Gaming, Video Games",Jetha Chan,Centre Ballroom (Med Ballroom),
12423,"Sun, 05 Apr 2015 17:00:00 +0800","Sun, 05 Apr 2015 18:00:00 +0800",Kaffeeklatch - Donna Maree Hansen,"Discussion, Writing","",Alternate Venue (Check Details),kaffeeklatch
12425,"Sun, 05 Apr 2015 11:00:00 +0800","Sun, 05 Apr 2015 12:00:00 +0800",Kaffeeklatch - Kylie Chan (1),"Discussion, Guest of Honour Item, Writing",Kylie Chan,Alternate Venue (Check Details),"In the Foyer to the right (near the Bar) 
Pre-purchased memberships can purchase tickets to this in advance. $5 per ticket. Maximum of 10 attendees."
