id,start_time,end_time,title,tags,people,venues,description
13281,"Thu, 24 Mar 2016 06:30:00 -0400","Thu, 24 Mar 2016 07:00:00 -0400",Opening Ceremony ,Core,"PRK , Evan Beasley, Jack Bridges, Jane Espenson, Lian Hearn, Laura Hodge, Samara Morgan, Fe Waters, Isobel White",North Ballroom (Large Panel Room),We officially open SWANCON 2016! Welcome!
13282,"Thu, 24 Mar 2016 07:00:00 -0400","Thu, 24 Mar 2016 07:30:00 -0400",Meet the AV Guy,"",Andy Hahn,Hamersley North (Small Panel Room),"Attention Swancon panelists, this session has been allotted for you to come and check out the standard A/V setup of your panel room. Should you require to test your devices, now is the time! Your friendly A/V Guy, Andy Hahn, will be available to chat to if you have any questions or requests.
It will continue directly into Moderating the Moderators"
13283,"Fri, 25 Mar 2016 22:00:00 -0400","Fri, 25 Mar 2016 23:00:00 -0400",Lockpicking Workshop,workshop,PickPals ,Hamersley South (Discussion Room),"PickPals presents a hands on guide to lockpicking.
Picks and locks will be provided, come and learn. There will be a competition with prized at the end of the workshop.
We encourage lock picking (only) as a sport, it is completely legal to sell and carry lock picks in WA."
13284,"Fri, 25 Mar 2016 01:00:00 -0400","Fri, 25 Mar 2016 02:00:00 -0400",Lunch,"","","",
13304,"Thu, 24 Mar 2016 22:00:00 -0400","Thu, 24 Mar 2016 23:00:00 -0400",There is no shame in enjoying Paranormal Romance,"Does Not Need Moderator, Does Not Need More Panellists/Presenters, ExportMe, Fantasy","Sue Ackermann, Shona Husk, Rebecca Laffar-Smith, Katherine McFarlane",North Ballroom (Large Panel Room),"We all have our guilty and not so guilty pleasures. Is it even worth drawing a line between paranormal romance and urban fantasy?
Moderator: Susan Ackermann"
13305,"Sat, 26 Mar 2016 01:00:00 -0400","Sat, 26 Mar 2016 02:00:00 -0400",Lunch,"","","",
13307,"Mon, 28 Mar 2016 01:00:00 -0400","Mon, 28 Mar 2016 02:00:00 -0400",Lunch,"","","",
13308,"Thu, 24 Mar 2016 05:00:00 -0400","Thu, 24 Mar 2016 06:30:00 -0400",Dinner,"","","",
13310,"Sat, 26 Mar 2016 06:00:00 -0400","Sat, 26 Mar 2016 07:30:00 -0400",Dinner,"","","",
13311,"Sun, 27 Mar 2016 06:00:00 -0400","Sun, 27 Mar 2016 07:30:00 -0400",Dinner,"","","",
13321,"Sat, 26 Mar 2016 22:00:00 -0400","Sat, 26 Mar 2016 23:00:00 -0400",Hanna-Barbera (pt3-1980’s),"Does Not Need Moderator, Does Not Need More Panellists/Presenters, ExportMe, TV/Movies",Damian Magee,Hamersley South (Discussion Room),"looking the studio and cartoons in 1980’s with added competition and pressure the company turn to old favourites, only few hits like The Smurfs. (Presentation)"
13324,"Mon, 28 Mar 2016 04:00:00 -0400","Mon, 28 Mar 2016 05:00:00 -0400",Closing Ceremony ,"a launch in five parts, Core","PRK , Evan Beasley, Jack Bridges, Chris Coman, Jane Espenson, Lian Hearn, Laura Hodge, Samara Morgan, Fe Waters, Frames White, Isobel White",North Ballroom (Large Panel Room),"Swancon over. Great sadness. Closing Ceremony will also feature ""Mostly Harmless"". See you at Swancon 42"
13325,"Fri, 25 Mar 2016 08:30:00 -0400","Fri, 25 Mar 2016 09:30:00 -0400",Swancon Video Quiz," Does Not Need Moderator,  Does Not Need More Panellists/Presenters,  ExportMe,  panel,  TV/Movies, Loud","Damian Magee, Heather Magee",North Ballroom (Large Panel Room),"This Award Winning event is back for the 10th year, with clips of TV, Film and Music can you guess the clue in the clip"
13326,"Fri, 25 Mar 2016 03:00:00 -0400","Fri, 25 Mar 2016 04:00:00 -0400",Double Book Launch," Does Not Need Moderator,  ExportMe,  Fantasy,  presentation, Does Not Need More Panellists/Presenters","Stephen Dedman, Satima Flavell, Grant Stone",North Ballroom (Large Panel Room),"We are pleased to present not one, but two book launches at this time.
The Cloak of Challiver (The Talismans 2) by Satima Flavell 
And, for  ""North of the Dragonlands"" by Stephen Dedman."
13327,"Sat, 26 Mar 2016 02:00:00 -0400","Sat, 26 Mar 2016 03:00:00 -0400",Hammer Horror: Frankenstein Saga.," Does Not Need Moderator,  Does Not Need More Panellists/Presenters,  ExportMe,  Horror,  presentation, Loud",Damian Magee,Hamersley North (Small Panel Room),"Take a look History of Hammerâ??s first big Horror Hit, Frankenstein ( as a  Video Presentation)"
13328,"Mon, 28 Mar 2016 03:00:00 -0400","Mon, 28 Mar 2016 04:00:00 -0400",Unexpected Cthulu. the mythos outside the Lovecraft," ExportMe,  Horror,  Needs Moderator,  panel, Does Not Need More Panellists/Presenters","Dave Cake, Daniel Drhoz, Keira McKenzie",South Ballroom (Large Panel Room),"I was walking down the street oneday, and then suddenly. *Cthulu*.
Cthulu isn't a monster, Cthulu is a brand. Discussion of the reuse of Eldritch concepts and styles. And of the other works that contribute to the cthulu mythos and the subgenre in general. Some argue the best cthulu mythos works are not by lovecraft at all."
13329,"Fri, 25 Mar 2016 02:00:00 -0400","Fri, 25 Mar 2016 03:00:00 -0400",Secure Containment Protocols," ExportMe,  Horror,  Needs Moderator,  Needs Panelists,  panel","Evan Beasley, Roland Kerr",Hamersley South (Discussion Room),"SCP is a collaborative fiction wiki.
Documenting secure containment protocols for monsters (and other issues), described on the site.
We;re going to talk about some of our faverates and maybe even write a few together."
