id,start_time,end_time,title,tags,people,venues,description
10684,"Sat, 19 Apr 2014 03:30:00 -0400","Sat, 19 Apr 2014 04:30:00 -0400",Homestuck: The Phenomenon,"Fandom, Web Comics","Alexis Hemsley, Sophie McFarland, Cathy Rye, Paul Wright",Champagne A (G),"Let me tell you about Homestuck. What started as a text adventure-style web comic has spawned a world of mythology, fan work, community participation, and even an upcoming game. 

What is it about Homestuck that has resulted in such a huge following? Our experts will tell you all about the comic and the weird and wonderful universe it has spawned."
10685,"Fri, 18 Apr 2014 03:30:00 -0400","Fri, 18 Apr 2014 04:30:00 -0400",Crucial moments in Classic Dr Who,Dr Who,"Damian Magee, Heather Magee, David Medlen",Champagne B (G),"A look at what moments changed Dr Who and resonated through its’ fifty year history. Elements of the show that worked, why they worked, how do they resonate today."
10686,"Thu, 17 Apr 2014 22:30:00 -0400","Thu, 17 Apr 2014 23:30:00 -0400",Writing Overtly Feminist Books In A Non Feminist World,"Craft of Writing, Needs People, Social Justice","Isobelle Carmody, Gina Goddard",Provence (L2),"Writing often reflects the real world, but sometimes the real world isn't the best place to be. Sometimes, when faced with inequalities in the real world, writers will create books that push against that dominant narrative. How do they do it, and what does it look like?"
10687,"Thu, 17 Apr 2014 09:00:00 -0400","Thu, 17 Apr 2014 10:00:00 -0400",Good Eats: The Geekiest Cooking Show On Earth,"Food, TV, TV","Bec Handcock, John Parker, Shay Telfer",Champagne B (G),"So here's a cooking show like you wouldn't believe. The presenter is a cook, not a chef, so the recipes can actually be made. He brings a science bent to it, so you know WHY you need to do the things the recipe requires, plus a Food Anthropologist assists so you know the history of your food. Finally he brings a geek cred, quoting Monty Python, Indiana Jones and even the Exorcist. That's why this show is gosh darn it, GOOD EATS!"
10689,"Thu, 17 Apr 2014 23:30:00 -0400","Fri, 18 Apr 2014 00:30:00 -0400",The Good Die Young:Short Lived Series,"TV, TV","Belinda Forbes, Kat Griffiths, David Gunn",Bordeaux North (L1),"There are lots of shows that didn't make it past their first or second season despite good premises for a variety of reasons. This doesn't make them bad shows. Our panellists discuss what died young, why it died young and why you should still watch it.
PLEASE NOTE: ""FIREFLY"" is not going to be discussed here."
10693,"Fri, 18 Apr 2014 01:30:00 -0400","Fri, 18 Apr 2014 02:30:00 -0400",Where All the Cool Kids Are: On the Rise of Indie Videogaming,Video Games,"Paul Chamberlain, Brendan Ragan, Lisa Rye, Wendy White",Bordeaux North (L1),"As the power of BlizElectronic Arctovision rose, more and more great developers squeezed out the sides. At the same time new distribution models appeared (STEAM, the ""bundles"", Desura and the like) allowed a new model to develop. Add in kickstarter and suddenly Indie Games are the place everyone wants to be be. Come hear about this fascinating phenomenon, including comments by members of local indie development teams."
10694,"Fri, 18 Apr 2014 05:30:00 -0400","Fri, 18 Apr 2014 06:30:00 -0400",Person of Interest,"Non-Genre, TV","PRK , Sven Lie, Sarah McFarlane",Champagne B (G),"_Person of Interest_, the CBS crime procedural show, has a surprising number of SF fans. What makes this show so popular among SF fandom? Why is it so fun?"
10695,"Thu, 17 Apr 2014 22:30:00 -0400","Thu, 17 Apr 2014 23:30:00 -0400",Wham! Pow! Hug!: Our Favourite Comics,Comics,"Jon Hayward, Krisjan Lie, Candice Schilder",Champagne B (G),"Rather than focussing on the ""Latest and Greatest"" our panellists talk about what they like across all of their comics reading, from early strips to the modern age.
Each panellists gets a tiny window to spruik their fave. Come along to pick up some great reading tips for comics you may not have previously read."
10696,"Fri, 18 Apr 2014 04:30:00 -0400","Fri, 18 Apr 2014 05:30:00 -0400",Rise of the Mutants: The X-Men under Chris Claremont,Comics,"Royd , Kitty Hemsley, John Parker",Champagne B (G),"Before Chris Claremont came along, the X-Men had been cancelled. They were two dimensional and the villains were worse. A young up-n-coming comic writer was given the opportunity to ""try out"" on the back of a successful relaunch. Little did the Marvel management realise that within a few years, this unknown title by an unknown writer would allow them to dominate comics for years to come."
10697,"Fri, 18 Apr 2014 08:00:00 -0400","Fri, 18 Apr 2014 09:00:00 -0400",Genre Themes in Non Genre Shows,"Needs People, Non-Genre, TV","Kitty Hemsley, Sarah McFarlane",Bordeaux North (L1),"Castle had a time-travel episode; Bones has dipped into the supernatural; White Collar deals regularly with conspiracies, both real and imagined. It seems that all throughout non-genre shows, genre themes keep popping up. Let's discuss some of our favourites, and why these themes are so appealing."
